id,name,roles,address_countryName,identifier_legalName,contactPoint_url,contactPoint_name,contactPoint_email,contactPoint_faxNumber,contactPoint_telephone,main_ocid,main_id
35237, (BIDVEST OFFICE),supplier,South Africa, (BIDVEST OFFICE),https://kznded.gov.za,NTOMBIFUTHI,shangen@kznded.gov.za,N/A,0609686156,ocds-9t57fa-101990,ocds-9t57fa-101990-2022-12-23T00:00:00Z
2604,ORIZOE SERVICES,supplier,South Africa,ORIZOE SERVICES,https://sars.gov.za,ORIENDA NOMANDLANE,SLinda@sars.gov.za,N/A,082 849 9044,ocds-9t57fa-21546,ocds-9t57fa-21546-2022-04-29T00:00:00Z
10607,Indalo Group and Design,supplier,South Africa,Indalo Group and Design,https://themvulatrust.org.za,MDUDUZI NTULI,mduduzin@themvulatrust.org.za,N/A,0114033425,ocds-9t57fa-43633,ocds-9t57fa-43633-2022-12-15T00:00:00Z
10612,Funezakho Construction Contractor,supplier,South Africa,Funezakho Construction Contractor,https://themvulatrust.org.za,MDUDUZI NTULI,mduduzin@themvulatrust.org.za,N/A,0114033425,ocds-9t57fa-43636,ocds-9t57fa-43636-2022-12-15T00:00:00Z
16950,LISHEMEMI TRADING AND PROJECTS,supplier,South Africa,LISHEMEMI TRADING AND PROJECTS,https://kzndhs.gov.za,Lorraine,sizwe.mkhize@kzndhs.gov.za,N/A,0678100558,ocds-9t57fa-43691,ocds-9t57fa-43691-2022-12-15T00:00:00Z
13530,AMANANDA TRADING,supplier,South Africa,AMANANDA TRADING,https://kznworks.gov.za,TB NTOMBELA,mu.zulu@kznworks.gov.za,N/A,0783020538,ocds-9t57fa-43967,ocds-9t57fa-43967-2022-12-21T00:00:00Z
9840,NEO TECHNOLOGIES,supplier,South Africa,NEO TECHNOLOGIES,https://sars.gov.za,Samantha Opperman,fdladla@sars.gov.za,N/A,0123712300,ocds-9t57fa-50704,ocds-9t57fa-50704-2022-12-15T00:00:00Z
3362,CHARL WENUM,supplier,South Africa,CHARL WENUM,https://gauteng.gov.za,Mpilonhle N. Buthelezi,thapelo.mohlanga@gauteng.gov.za,N/A,011-689- 6035,ocds-9t57fa-14868,ocds-9t57fa-14868-2022-01-21T00:00:00Z
4605,RAMCOM CAPE,supplier,South Africa,RAMCOM CAPE,https://capetown.gov.za,Omar Boltman,Abegail.Lottering@capetown.gov.za,N/A,072-687-4604,ocds-9t57fa-15243,ocds-9t57fa-15243-2022-01-21T00:00:00Z
2886,ARUP ,supplier,South Africa,ARUP ,https://coega.co.za,Ms. Zine Mtanda,nompumelelo.khumalo@coega.co.za,N/A,000 000 0000,ocds-9t57fa-15256,ocds-9t57fa-15256-2022-01-21T00:00:00Z
4495,FeverTreeConsulting,supplier,South Africa,FeverTreeConsulting,https://dpe.gov.za,Sven De Kock,nancy.maswanganye@dpe.gov.za,N/A,0113847800,ocds-9t57fa-15307,ocds-9t57fa-15307-2022-01-21T00:00:00Z
6174,BATALALA CONSULTING ENGINEERS,supplier,South Africa,BATALALA CONSULTING ENGINEERS,https://NRA.CO.ZA,Procurement office,FAKUN@NRA.CO.ZA,N/A,0124266236,ocds-9t57fa-16699,ocds-9t57fa-16699-2022-02-04T00:00:00Z
3193,LT Clinical Research,supplier,South Africa,LT Clinical Research,https://mrc.ac.za,tenders@mrc.ac.za,nolwando.gwija@mrc.ac.za,N/A,021-9380911,ocds-9t57fa-17292,ocds-9t57fa-17292-2022-02-11T00:00:00Z
3212,Medinel,supplier,South Africa,Medinel,https://mrc.ac.za,tenders@mrc.ac.za,nolwando.gwija@mrc.ac.za,N/A,021-9380911,ocds-9t57fa-17292,ocds-9t57fa-17292-2022-02-11T00:00:00Z
11595,SLR CONSULTING (SOUTH AFRICA),supplier,South Africa,SLR CONSULTING (SOUTH AFRICA),https://nra.co.za,FUAD FREDERICKS,kekanab@nra.co.za,N/A,021 461 1118,ocds-9t57fa-17962,ocds-9t57fa-17962-2022-02-18T00:00:00Z
4135,BLU TRANSFUXION LOGISTICS SOLUTION,supplier,South Africa,BLU TRANSFUXION LOGISTICS SOLUTION,https://wrc.org.za,Khumo Mosathupa,nhlanhlac@wrc.org.za,N/A,khumo@blutrans.co.za,ocds-9t57fa-18035,ocds-9t57fa-18035-2022-02-18T00:00:00Z
3659,QED-Quality Executive Development,supplier,South Africa,QED-Quality Executive Development,https://hwseta.org.za,Rufus Ledwaba,bongiwem@hwseta.org.za,N/A,011-463-0907,ocds-9t57fa-18099,ocds-9t57fa-18099-2022-02-18T00:00:00Z
3253,FTA ENTERPRISES,supplier,South Africa,FTA ENTERPRISES,https://overstrand.gov.za,E Ismail,ldupreez@overstrand.gov.za,N/A,021 797 2860,ocds-9t57fa-18736,ocds-9t57fa-18736-2022-02-25T00:00:00Z
1536,PTV AFRICA,supplier,South Africa,PTV AFRICA,https://stellenbosch.gov.za,Johan Fullard,Ingrid.Thesen@stellenbosch.gov.za,N/A,021-808-8222,ocds-9t57fa-19184,ocds-9t57fa-19184-2022-03-11T00:00:00Z
3031,CAB HOLDINGS,supplier,South Africa,CAB HOLDINGS,https://capeagulhas.gov.za,GP SAUNDERS,geraldinek@capeagulhas.gov.za,N/A,cabsa@cabholdings.co.za,ocds-9t57fa-19461,ocds-9t57fa-19461-2022-03-18T00:00:00Z
6116,TOLPLAN,supplier,South Africa,TOLPLAN,https://capetown.gov.za,Taryn Hector ,SanelisiweEngel.Dyamdeki@capetown.gov.za,N/A,021 400 1022,ocds-9t57fa-19659,ocds-9t57fa-19659-2022-03-25T00:00:00Z
10608,MBONGO GROUP,supplier,South Africa,MBONGO GROUP,https://jwater.co.za,Kakaretso Phiri,nthabiseng.more@jwater.co.za,N/A,011-688-1533,ocds-9t57fa-19700,ocds-9t57fa-19700-2022-03-25T00:00:00Z
3465,MARTIN AND EAST,supplier,South Africa,MARTIN AND EAST,https://mosselbay.gov.za,Abraham Avenant,sfortuin@mosselbay.gov.za,N/A,(021) 761-3474,ocds-9t57fa-19916,ocds-9t57fa-19916-2022-04-01T00:00:00Z
16356,STELLENBOSCH PREMIER MANUFACTURERS,supplier,South Africa,STELLENBOSCH PREMIER MANUFACTURERS,https://capetown.gov.za,Andre Leon Le Roux ,vuyiseka.matsha@capetown.gov.za,N/A,'021 883 8531,ocds-9t57fa-20227,ocds-9t57fa-20227-2022-04-08T00:00:00Z
4369,EPC CONSUMABLES,supplier,South Africa,EPC CONSUMABLES,https://Cticc.co.za,Merlyn Pietersen,Nadiab@Cticc.co.za,N/A,021-558-2728,ocds-9t57fa-20388,ocds-9t57fa-20388-2022-04-14T00:00:00Z
4596,A-THERMAL RESOURCES,supplier,South Africa,A-THERMAL RESOURCES,https://erwat.co.za,Mr N Eleftheriades,Hester.VanZyl@erwat.co.za,N/A,011-316-1800,ocds-9t57fa-20402,ocds-9t57fa-20402-2022-04-14T00:00:00Z
3497,SILVER LAKE TRADING 305,supplier,South Africa,SILVER LAKE TRADING 305,https://capeagulhas.gov.za,Gerald Gordan,geraldinek@capeagulhas.gov.za,N/A,gerald@opulentia.co.za,ocds-9t57fa-20408,ocds-9t57fa-20408-2022-04-14T00:00:00Z
3871,Innovatink,supplier,South Africa,Innovatink,https://corp.nrf.ac.za,Lebogang Mosoma,VL.Vabaza@corp.nrf.ac.za,N/A,0124814000,ocds-9t57fa-20679,ocds-9t57fa-20679-2022-04-22T00:00:00Z
3599,THE VUVUZELA HOTLINE,supplier,South Africa,THE VUVUZELA HOTLINE,https://erwat.co.za,Mr FH Shamsoodeen,Hester.VanZyl@erwat.co.za,N/A,0126828799,ocds-9t57fa-21592,ocds-9t57fa-21592-2022-05-13T00:00:00Z
5255,PR CIVILS,supplier,South Africa,PR CIVILS,https://matzikamamun.co.za,MR PIERRE RUSSOUW,antheal@matzikamamun.co.za,N/A,073 888 2007,ocds-9t57fa-22500,ocds-9t57fa-22500-2022-05-27T00:00:00Z
3743,IDI TECHNOLOGY SOLUTIONS,supplier,South Africa,IDI TECHNOLOGY SOLUTIONS,https://stellenbosch.gov.za,Faiz Hoosain,Ingrid.Thesen@stellenbosch.gov.za,N/A,021-808-8555,ocds-9t57fa-22512,ocds-9t57fa-22512-2022-05-27T00:00:00Z
6130,MB TRADING ENTERPRISE,supplier,South Africa,MB TRADING ENTERPRISE,https://eskom.co.za,Safeeyah Richards,DhansaS@eskom.co.za,N/A,082 406 3821,ocds-9t57fa-22602,ocds-9t57fa-22602-2022-05-27T00:00:00Z
5883,MASSAMATIC,supplier,South Africa,MASSAMATIC,https://capetown.gov.za,Ebrahim Mohamed,carmencandice.jacobs@capetown.gov.za,N/A,021 444 9889,ocds-9t57fa-22978,ocds-9t57fa-22978-2022-06-03T00:00:00Z
8204,NZWALO INVESTMENTS,supplier,South Africa,NZWALO INVESTMENTS,https://capetown.gov.za, Bongiwe Nyekendala,Asanda.Gali@capetown.gov.za,N/A,021 400 9424,ocds-9t57fa-23482,ocds-9t57fa-23482-2022-06-10T00:00:00Z
9595,BATABILE CONSTRUCTION SERVICES,supplier,South Africa,BATABILE CONSTRUCTION SERVICES,https://matatiele.gov.za,KHANYILE TOFA,nsekutlu@matatiele.gov.za,N/A,0732995650,ocds-9t57fa-23616,ocds-9t57fa-23616-2022-06-10T00:00:00Z
3028,AE SOFT,supplier,South Africa,AE SOFT,https://bankseta.org.za,Shannon Daubermann,jackiek@bankseta.org.za,N/A,0114539947,ocds-9t57fa-23830,ocds-9t57fa-23830-2022-01-28T00:00:00Z
3678,ECM BUSINESS SERVICES,supplier,South Africa,ECM BUSINESS SERVICES,https://ecrda.co.za,GS BLIGNAUT,ESBENM@ecrda.co.za,N/A,0711228143,ocds-9t57fa-23970,ocds-9t57fa-23970-2022-06-17T00:00:00Z
4595,KATSEN CONSTRUCTION,supplier,South Africa,KATSEN CONSTRUCTION,https://capeagulhas.gov.za,KC KATSEN,geraldinek@capeagulhas.gov.za,N/A,admin@katsenconstruction.co.za,ocds-9t57fa-24146,ocds-9t57fa-24146-2022-06-17T00:00:00Z
8301,PRICEWATERHOUSECOOPERS,supplier,South Africa,PRICEWATERHOUSECOOPERS,https://dbsa.org,Lullu Kruge,JoleenP@dbsa.org,N/A,011-797-4929,ocds-9t57fa-24173,ocds-9t57fa-24173-2022-06-17T00:00:00Z
3401,ANDIMAHLE TRADING ENTERPRISE,supplier,South Africa,ANDIMAHLE TRADING ENTERPRISE,https://msinsi.co.za,Cindy Zindela,Cindy.Zindela@msinsi.co.za,N/A,0317657724,ocds-9t57fa-24232,ocds-9t57fa-24232-2022-06-17T00:00:00Z
3899,Monde and Everlyn ,supplier,South Africa,Monde and Everlyn ,https://prasa.com,Luleka Mtyala,lmtyala@prasa.com,N/A,0437002329,ocds-9t57fa-25342,ocds-9t57fa-25342-2022-07-01T00:00:00Z
3237,RONRE ELECTRICAL ENTERPRISES,supplier,South Africa,RONRE ELECTRICAL ENTERPRISES,https://solplaatje.org.za,RONALD DANIEL ENGELBRECHT,kntlangwini@solplaatje.org.za,N/A,082-552-6355,ocds-9t57fa-25487,ocds-9t57fa-25487-2022-01-28T00:00:00Z
4603,Malindo Civil and Construction,supplier,South Africa,Malindo Civil and Construction,https://sarao.ac.za,Plaxcedice Dliwayo,tmothupi@sarao.ac.za,N/A,011 660 4468,ocds-9t57fa-25874,ocds-9t57fa-25874-2022-07-08T00:00:00Z
8237,RISK RELEASE,supplier,South Africa,RISK RELEASE,https://capetown.gov.za,Damien Fortuin ,Nomzamoantonette.Mbali@capetown.gov.za,N/A,021 814 1463,ocds-9t57fa-25884,ocds-9t57fa-25884-2022-07-08T00:00:00Z
5587,Mubvumela Corporation,supplier,South Africa,Mubvumela Corporation,https://weathersa.co.za,Mr. Vusi Maditsi,Johan.Oosthuizen@weathersa.co.za,N/A,012 367 6274,ocds-9t57fa-25929,ocds-9t57fa-25929-2022-07-08T00:00:00Z
8305,MVUNO ADVISORY,supplier,South Africa,MVUNO ADVISORY,https://dbsa.org,Vhulahani Eunice Ngwenya,JoleenP@dbsa.org,N/A,079-511-0512,ocds-9t57fa-25928,ocds-9t57fa-25928-2022-07-08T00:00:00Z
8792,BLACKSPOT AD AND DESIGN,supplier,South Africa,BLACKSPOT AD AND DESIGN,https://umgeni.co.za,Snenhlanhla Hlongwane,Louisa.Khumalo@umgeni.co.za,N/A,333411369,ocds-9t57fa-25975,ocds-9t57fa-25975-2022-07-08T00:00:00Z
4851,LDMO TRADING,supplier,South Africa,LDMO TRADING,https://psjmunicipality.gov.za,Mrs N Baleni-Gxumisa,smtshamba@psjmunicipality.gov.za,N/A,079 890 4517,ocds-9t57fa-26380,ocds-9t57fa-26380-2022-07-15T00:00:00Z
8680,Mathelemusa Trading and Projects,supplier,South Africa,Mathelemusa Trading and Projects,https://sanbi.org.za,Hudson Mathelemusa,m.maila@sanbi.org.za,N/A,011-941-1317,ocds-9t57fa-26492,ocds-9t57fa-26492-2022-07-15T00:00:00Z
36664, (PHANDU COMMUNICATIONS),supplier,South Africa, (PHANDU COMMUNICATIONS),https://ugu.gov.za,TAKALANI JUSTICE,tarulethu.mafungwa@ugu.gov.za,N/A,0127420600,ocds-9t57fa-26546,ocds-9t57fa-26546-2022-07-15T00:00:00Z
11660,EMPA STRUCTURES ,supplier,South Africa,EMPA STRUCTURES ,https://nra.co.za,Procurement Officer,dywilim@nra.co.za,N/A,041-398-3200,ocds-9t57fa-26983,ocds-9t57fa-26983-2022-07-15T00:00:00Z
11884,CHE ELEC ENG,supplier,South Africa,CHE ELEC ENG,https://stellenbosch.gov.za,James Beukes,Ingrid.Thesen@stellenbosch.gov.za,N/A,0218088209,ocds-9t57fa-27110,ocds-9t57fa-27110-2022-07-22T00:00:00Z
9273,ALL CENTRAL TRADING,supplier,South Africa,ALL CENTRAL TRADING,https://capetown.gov.za,Carrie Wheeler,KirstyJade.Kenny@capetown.gov.za,N/A,021-360-1157,ocds-9t57fa-27171,ocds-9t57fa-27171-2022-07-22T00:00:00Z
